Codigo_Nacional;Nombre;TIPO;ATC;LABORATORIO;PVP_CIMA
001395;LACER FLUOR PASTA DUPLO 2X125;PARAFARMACIA;"";"";""
002138;GAFA FARLINE OPTA MALTA 1.5;PARAFARMACIA;"";"";""
002140;GAFA FARLINE OPTA MALTA 2;PARAFARMACIA;"";"";""
002142;GAFA FARLINE OPTA MALTA 3;PARAFARMACIA;"";"";""
003194;TAPONES OIDO CERA TAPS 12UN;PARAFARMACIA;"";"";""
003335;AGUA AZAHAR TENA 500 ML;PARAFARMACIA;"";"";""
003546;ACEITE HIG BACA PERLA500MG120C;PARAFARMACIA;"";"";""
004147;ENVASE ORIN VAC SN TUB APOSAN 1U;PARAFARMACIA;"";"";""
007066;FARLINE LIMA NG FIBRA VIDRIO;PARAFARMACIA;"";"";""
007068;FARLINE PINZA DEPILAR PROF DECO;PARAFARMACIA;"";"";""
007069;FARLINE PINZA DEPILAR NG;PARAFARMACIA;"";"";""
007071;FARLINE TIJERAS PIELES PROFES;PARAFARMACIA;"";"";""
007072;FARLINE TIJERAS U´┐¢AS PROFES;PARAFARMACIA;"";"";""
007076;FARLINE CORTAU´┐¢AS MANICURA;PARAFARMACIA;"";"";""
007077;FARLINE CORTAU´┐¢AS PEDICURA;PARAFARMACIA;"";"";""
007080;FARLINE PIEDRA QUITADUREZAS BL;PARAFARMACIA;"";"";""
007770;DUPLO FARLINE CR MAN HIDRATANT;PARAFARMACIA;"";"";""
007772;DUPLO FARLINE CR MAN REPARADOR;PARAFARMACIA;"";"";""
007828;GAFA LORING TEXAS-1 AZUL +2.50;PARAFARMACIA;"";"";""
007902;DUPLO FARLINE CR ADHESIV 2X40G;PARAFARMACIA;"";"";""
008404;GAFA FARLINE OPT MILAN AZ 1;PARAFARMACIA;"";"";""
008405;GAFA FARLINE OPT MILAN AZ 1.5;PARAFARMACIA;"";"";""
008406;GAFA FARLINE OPT MILAN AZ 2;PARAFARMACIA;"";"";""
008408;GAFA FARLINE OPT MILAN AZ 3;PARAFARMACIA;"";"";""
008435;GAFA FARLINE OPT DUBLIN MA 2.5;PARAFARMACIA;"";"";""
008437;GAFA FARLINE OPT DUBLIN MA 3.5;PARAFARMACIA;"";"";""
008994;SUBEMEDIAS CONTORNEADO H4650;PARAFARMACIA;"";"";""
009184;FARLINE PACK AGUA MICELAR;PARAFARMACIA;"";"";""
009408;NUTRIPLUS GEL 120 GR;PARAFARMACIA;"";"";""
009433;ANIMA STRATH 100 ML;PARAFARMACIA;"";"";""
009443;IRC-VET GEL 50 ML;PARAFARMACIA;"";"";""
009537;GAFA FARLINE DUBLIN AZ 2;PARAFARMACIA;"";"";""
009561;GAFA FARLINE PALERMO NG 1;PARAFARMACIA;"";"";""
009562;GAFA FARLINE PALERMO NG 1.5;PARAFARMACIA;"";"";""
009564;GAFA FARLINE PALERMO NG 2;PARAFARMACIA;"";"";""
009565;GAFA FARLINE PALERMO NG 2.5;PARAFARMACIA;"";"";""
009781;AGUJAS STERICAN 30G 0.30X12MM;PARAFARMACIA;"";"";""
010719;FELIWAY DIFUSOR + RECARGA 48ML;PARAFARMACIA;"";"";""
011595;SYNOQUIN CRECIMIENTO 60COM;PARAFARMACIA;"";"";""
011881;GAFA NANTES FARLINE DP 2.5;PARAFARMACIA;"";"";""
012079;BOLSA GEL FRIO CALOR 14X24;PARAFARMACIA;"";"";""
012224;GAFA SOL CUBA CARE POL FARLINE;PARAFARMACIA;"";"";""
012231;GAFA SOL FARLINE SUIZA NG_POL;PARAFARMACIA;"";"";""
012241;GAFA SOL INF AKIRA FARLINE;PARAFARMACIA;"";"";""
012582;GAFA FARLINE TEIDE 1;PARAFARMACIA;"";"";""
013035;DUPLO BEXIDENT COLUT TRIC 500*;PARAFARMACIA;"";"";""
013176;GAFA FARLINE OPT OTAWA CAR 1;PARAFARMACIA;"";"";""
013182;GAFA FARLINE OPT OTAWA CAR 3;PARAFARMACIA;"";"";""
013191;GAFA FARLINE TOKIO GRIS 1;PARAFARMACIA;"";"";""
013194;GAFA FARLINE TOKIO GRIS 1.5;PARAFARMACIA;"";"";""
013199;GAFA FARLINE OPT TOKIO_RJ 1;PARAFARMACIA;"";"";""
013211;GAFA FARLINE KIEV NG 2.5;PARAFARMACIA;"";"";""
013212;GAFA FARLINE KIEV NG 3;PARAFARMACIA;"";"";""
013486;GAFA SOL FARLINE LOMBOK PL;PARAFARMACIA;"";"";""
013591;BACH RESCUE GOTERO 20 ML;PARAFARMACIA;"";"";""
013739;FARLINE DUPLO COLUTORIO ENCIAS;PARAFARMACIA;"";"";""
013857;DOUXO S3 PYO SHAMPOO 200 ML;PARAFARMACIA;"";"";""
013891;XMILE PLUS GEL DENTIFRICO;PARAFARMACIA;"";"";""
015503;ABE´┐¢ULA AZ GD;PARAFARMACIA;"";"";""
015894;STERICAN 30GX12 0.30X12 100U;PARAFARMACIA;"";"";""
018441;DUO BEXIDENT ENCIAS DIA PAS125;PARAFARMACIA;"";"";""
023680;ERGYVITAL HOMBRE 60 CAPSULAS NUTERGIA;PARAFARMACIA;"";"";""
025720;APOSAN SACO TERMIC SEMILLA VD;PARAFARMACIA;"";"";""
025976;FARLINE GAFA SOL TANGO;PARAFARMACIA;"";"";""
025980;FARLINE GAFA SOL HABANERA;PARAFARMACIA;"";"";""
025989;FARLINE GAFA SOL INF GAITA;PARAFARMACIA;"";"";""
026050;FARLINE DUPLO SP TRANS PED 40%;PARAFARMACIA;"";"";""
026051;FARLINE NEC TQ SEC+GEL C0 S5;PARAFARMACIA;"";"";""
026059;APOSAN REPEL FAM+PULS NR R5;PARAFARMACIA;"";"";""
026066;FARLINE NEC VIAJE AD + COLUT;PARAFARMACIA;"";"";""
026442;APOSAN PASTILLER DIARIO 2 TOMA;PARAFARMACIA;"";"";""
026444;APOSAN PASTILLER DIA 3 TOMA;PARAFARMACIA;"";"";""
026466;FARLINE COLUTOR ANTICARI 100ML;PARAFARMACIA;"";"";""
026761;APOSAN BOTIQ SUERO FISIOL 10U;PARAFARMACIA;"";"";""
026766;FARLINE HOMBRE NEC BASIC AFEIT;PARAFARMACIA;"";"";""
026767;FARLINE HOMBRE NEC BASIC DIA;PARAFARMACIA;"";"";""
026772;FARLINE MASCARILLA NUTRI 100ML;PARAFARMACIA;"";"";""
026790;FARLINE RECAMBIO CEPILL E PATR;PARAFARMACIA;"";"";""
026824;APOSAN HOME FLOR PERFUM FRUTAL;PARAFARMACIA;"";"";""
026825;APOSAN HOME FLOR PERFUM AMADER;PARAFARMACIA;"";"";""
026826;APOSAN HOME FLOR PERFUM FLORAL;PARAFARMACIA;"";"";""
026839;FARLINE NEC BEBE CON MORD RS;PARAFARMACIA;"";"";""
028308;TRAUMEEL S HEEL 50 COMP;PARAFARMACIA;"";"";""
028365;TRAUMEEL S HEEL POMADA 50 G;PARAFARMACIA;"";"";""
028383;FARLINE DUPLO GEL SPA 750ML + POMELO 750ML;PARAFARMACIA;"";"";""
028447;SUERO FISIO APOSAN BOTIQ 30U;PARAFARMACIA;"";"";""
028451;FARLINE OLEOGEL+CR INTENS ATOP;PARAFARMACIA;"";"";""
028455;FARLINE GAFA SOL AFRODITA;PARAFARMACIA;"";"";""
028458;FARLINE GAFA SOL ARES;PARAFARMACIA;"";"";""
028461;FARLINE GAFA SOL CALISTA;PARAFARMACIA;"";"";""
028463;FARLINE GAFA SOL CIBELES;PARAFARMACIA;"";"";""
028469;FARLINE GAFA SOL INF ATEMIS;PARAFARMACIA;"";"";""
028471;FARLINE GAFA SOL INF PANDORA;PARAFARMACIA;"";"";""
029172;VITAMINA K2 + D3 15ML;PARAFARMACIA;"";"";""
029733;GAFA FARLINE AMATISTA 1.5;PARAFARMACIA;"";"";""
029734;GAFA FARLINE AMATISTA 2;PARAFARMACIA;"";"";""
029735;GAFA FARLINE AMATISTA 2.5;PARAFARMACIA;"";"";""
029737;GAFA FARLINE AMATISTA 3;PARAFARMACIA;"";"";""
029740;GAFA FARLINE AMBAR 1;PARAFARMACIA;"";"";""
029741;FARLINE GAFA AMBAR 1.5;PARAFARMACIA;"";"";""
029742;GAFA FARLINE AMBAR 2;PARAFARMACIA;"";"";""
029745;GAFA FARLINE AMBAR 3;PARAFARMACIA;"";"";""
029753;GAFA FARLINE ´┐¢GATA 3;PARAFARMACIA;"";"";""
029782;GAFA FARLINE CIRCON 2.5;PARAFARMACIA;"";"";""
029789;GAFA FARLINE JASPE 2;PARAFARMACIA;"";"";""
029791;GAFA FARLINE JASPE 3;PARAFARMACIA;"";"";""
029811;GAFA FARLINE TOPACIO 1.5;PARAFARMACIA;"";"";""
029856;FARLINE GEL ALGODON 100ML;PARAFARMACIA;"";"";""
029890;APOSAN HOME FLOR PERF AMADERADA;PARAFARMACIA;"";"";""
029915;FARLINE DUPLO GEL ARGAN 750ML + VAINILLA 750ML;PARAFARMACIA;"";"";""
029916;FARLINE DUPLO GEL ALGODON 750ML + ALMENDRA 750ML;PARAFARMACIA;"";"";""
030268;PROENTERIC ADVANCED PERRO 30ML;PARAFARMACIA;"";"";""
030511;APOSAN CALENTITOS VACA;PARAFARMACIA;"";"";""
030556;FARLINE GAFA SOL LOLA;PARAFARMACIA;"";"";""
030562;FARLINE GAFA SOL HARPER;PARAFARMACIA;"";"";""
030565;FARLINE GAFA SOL INF LEO;PARAFARMACIA;"";"";""
030604;FARLINE CHAMPU ANTICASPA 100ML;PARAFARMACIA;"";"";""
030605;FARLINE CHAMPU FORTIFIC 100ML;PARAFARMACIA;"";"";""
030606;FARLINE CHAMPU SEBORREGUL 100M;PARAFARMACIA;"";"";""
032167;SUERO FISIO APOSAN BOTIQ 50U;PARAFARMACIA;"";"";""
032184;FARLINE NEC SP TRANS AD+PED;PARAFARMACIA;"";"";""
032381;GAFA FARLINE ARTIES 1.5;PARAFARMACIA;"";"";""
032412;GAFA FARLINE CHINCH´┐¢N 1.5;PARAFARMACIA;"";"";""
032413;GAFA FARLINE CHINCH´┐¢N 2;PARAFARMACIA;"";"";""
032459;FARLINE CORDON GAFA TELA AZ;PARAFARMACIA;"";"";""
032461;FARLINE CORDON GAFA CRISTAL AZ;PARAFARMACIA;"";"";""
032584;AGUJA 0,3X13 30G 1/2 1UD;PARAFARMACIA;"";"";""
032836;GAFA FARLINE HIPNOS 1.5;PARAFARMACIA;"";"";""
032840;GAFA FARLINE HIPNOS 3;PARAFARMACIA;"";"";""
032845;GAFA FARLINE CRATOS 2;PARAFARMACIA;"";"";""
032846;GAFA FARLINE CRATOS 2.5;PARAFARMACIA;"";"";""
032848;GAFA FARLINE CRATOS 3;PARAFARMACIA;"";"";""
033490;APOSAN CALENTITOS PERRO;PARAFARMACIA;"";"";""
033517;FARLINE GAFA SOL PERSEO_POL;PARAFARMACIA;"";"";""
033523;FARLINE GAFA SOL VIRGO;PARAFARMACIA;"";"";""
033924;DOUXO S3 CALM SHAMPOO 200 ML;PARAFARMACIA;"";"";""
034391;FARLINE LIMA PIES MANGO;PARAFARMACIA;"";"";""
034835;DEPRESORES MADERA 100 UND;PARAFARMACIA;"";"";""
035507;GAFA FARLINE URBI´┐¢N 2;PARAFARMACIA;"";"";""
035508;GAFA FARLINE URBI´┐¢N 2.5;PARAFARMACIA;"";"";""
035509;GAFA FARLINE URBI´┐¢N 3;PARAFARMACIA;"";"";""
035835;RESUCITADOR AMB ADUL URG105N17;PARAFARMACIA;"";"";""
038968;BAYTRIL 15 MG 10 COMP VET;PARAFARMACIA;"";"";""
038976;BAYTRIL 50 MG 10 COMP VET;PARAFARMACIA;"";"";""
045658;CIGARRO MENTOL FLOWERS 2PZ 1UN;PARAFARMACIA;"";"";""
045666;CIGARRO MENTOL FLOWERS 3P 1U;PARAFARMACIA;"";"";""
047381;ARCANUM UNG SEDATIVO 100 ML;PARAFARMACIA;"";"";""
051566;SOLNATURAL STEVIA 300 TABLETAS;PARAFARMACIA;"";"";""
067256;VETRIDERM SOL TOPICA 350ML;PARAFARMACIA;"";"";""
068288;VENDAJE CIRCUL FINGER BANDAGE;PARAFARMACIA;"";"";""
073387;VASELINA GAL 12 GR;PARAFARMACIA;"";"";""
077693;ZUECO HANKSHOES CONFORT AZ 43;PARAFARMACIA;"";"";""
078261;ZUECO HANKSHOES MICROMAS BL 43;PARAFARMACIA;"";"";""
085951;PASTILLERO CORTADOR PASTILLAS;PARAFARMACIA;"";"";""
099452;AGUA DE ROSAS AL 0,3% 250ML;PARAFARMACIA;"";"";""
099531;AGUA ROSAS 1 L PERLAPHARMA;PARAFARMACIA;"";"";""
100090;SINERGIA EUCALYPUR 30ML;PARAFARMACIA;"";"";""
100470;SOLARAY VIT B12 2000MCG 90COMP;PARAFARMACIA;"";"";""
102765;ALUMINIUM SPRAY 270ML SP VETERINARIA;PARAFARMACIA;"";"";""
102768;OTIFREE 160ML SOL AURICULAR VETOQUINOL;PARAFARMACIA;"";"";""
106348;ACEITE ALMENDRAS DULCES 1 LITRO SOTYA;PARAFARMACIA;"";"";""
108004;HOLOFIT ASTAXANTINA  50CAP;PARAFARMACIA;"";"";""
108313;HOLOMEGA ACIDO CAPRILICO 50CAP;PARAFARMACIA;"";"";""
110044;ANTIFAZ FLEMING GEL FRIOCALOR;PARAFARMACIA;"";"";""
110120;MASCARILLA SILIC INFAN AMBU N2;PARAFARMACIA;"";"";""
110788;PASTILLERO DIARIO 4TOMAS PQ BL;PARAFARMACIA;"";"";""
112143;RICIGRAN A RICINO PESTA´┐¢A 30ML;PARAFARMACIA;"";"";""
113305;DIDISAN RTU 500 ML;PARAFARMACIA;"";"";""
114444;FELIWAY CLASSIC SPRAY 60 ML;PARAFARMACIA;"";"";""
116729;DUPLO ANTHELIOS DERMO PEDRIATRICS SPRAY 50+ 200 ML X 2;PARAFARMACIA;"";"";""
116733;DUPLO ANTHELIOS BRUMA ROSTRO 75ML X 2;PARAFARMACIA;"";"";""
117077;VARIOS PRODUCTOS;PARAFARMACIA;"";"";""
118782;JABON GLICERINA 100GR;PARAFARMACIA;"";"";""
124688;AE TE DE LABRADOR 5ML TERPENIC;PARAFARMACIA;"";"";""
125743;AE ZANAHORIA 70%CAROTOL 30ML T;PARAFARMACIA;"";"";""
131708;PRO-ENTERIC ADVANCED DOG 15ML BIOIBERICA;PARAFARMACIA;"";"";""
140011;ATENOLOL 2 mg/ml SUSPENSION ORAL 1 FRASCO 100 ml;PARAFARMACIA;"";"";""
140034;DILTIAZEM 20 mg/g GEL CUTANEO 1 ENVASE 30 g;PARAFARMACIA;"";"";""
143644;CIGARRO MENTOL FLOWERS BLIST3U;PARAFARMACIA;"";"";""
149061;OB CARBON VEGET ACTIVADO 60CAP;PARAFARMACIA;"";"";""
150113;SRO FISIOL CINFA 40 MONOD 5 ML;PARAFARMACIA;"";"";""
150147;HALLEY REPELEN INSECT INF100ML;PARAFARMACIA;"";"";""
150148;HALLEY REPEL INSECTO TOALLITAS;PARAFARMACIA;"";"";""
150243;PEUSEK BA´┐¢O DESOD 2 SOBRES;PARAFARMACIA;"";"";""
150317;RODILLERA FARMALAST ROTULIAN M;PARAFARMACIA;"";"";""
150362;KIN FORTE ENCIAS PASTA 125ML;PARAFARMACIA;"";"";""
150614;XEROLACER GEL TOPICO 50 ML;PARAFARMACIA;"";"";""
150699;SALUVITAL CR ROSA MOSQ 50ML;PARAFARMACIA;"";"";""
150828;KLORANE DESOD SPY ALTHEA 125ML;PARAFARMACIA;"";"";""
150891;CEPILLO INTERPROX PLUS SUPER10;PARAFARMACIA;"";"";""
150892;CEPILLO INTERPROX PLUS MICRO10;PARAFARMACIA;"";"";""
150983;ISDIN TEEN SKIN ACNIBEN MINIMIZADOR IMPERFECCIONES LOCALIZADAS 30 TOALLITAS;PARAFARMACIA;"";"";""
150996;ANDROFERTI 60 SOBRES;PARAFARMACIA;"";"";""
151062;KERACNYL GLYCOLIC+ CR DESIN 30;PARAFARMACIA;"";"";""
151072;AVENE SOLAR COMPAC ARENA F 50;PARAFARMACIA;"";"";""
151334;HYDRAPHASE XL LIGERA CR 40 ML;PARAFARMACIA;"";"";""
151566;LIPIKAR BAUME AP+M LIGHT 400ML;PARAFARMACIA;"";"";""
151593;BIMANAN DRENAJE REDUCT 500 ML;PARAFARMACIA;"";"";""
151694;SALUVITAL GEL ALOE VERA PUR500;PARAFARMACIA;"";"";""
151796;SENSIBIO H2O 500 ML;PARAFARMACIA;"";"";""
152345;WOMAN ISDIN HIDR VAG 12X6;PARAFARMACIA;"";"";""
152346;PSORISDIN CHAMPU 200 ML;PARAFARMACIA;"";"";""
152536;FOTOP ISDIN EXT F50+ FUSION50M;PARAFARMACIA;"";"";""
152597;ANTHELIOS UV MUNE 400 50+ 50ML;PARAFARMACIA;"";"";""
152599;LOCION HIDRATANTE CERAVE 1 ENVASE 473 ml RECARGA;PARAFARMACIA;"";"";""
152644;RHINOMER BABY RECAMBIO 10 UN;PARAFARMACIA;"";"";""
153406;CYSTICLEAN 240 MG PAC 30 SOBR;PARAFARMACIA;"";"";""
153431;REVIDOX STILVID 30 CAPS;PARAFARMACIA;"";"";""
153444;TOLERIANE DERMOLIMPIADOR 400ML;PARAFARMACIA;"";"";""
153541;ARKO LEVURA SACCHAR BOULARD 50;PARAFARMACIA;"";"";""
153822;PEZONERA MEDELA M 2 UN+ESTUCHE;PARAFARMACIA;"";"";""
153978;FISIOVEN BIOGEL 100 ML;PARAFARMACIA;"";"";""
154065;PRESERVISION 3 60 CAPS;PARAFARMACIA;"";"";""
154119;STERILLIUM SOLUC BIOC 100 ML;PARAFARMACIA;"";"";""
154121;STERILLIUM SOLUC BIOC 500 ML;PARAFARMACIA;"";"";""
154281;LIPIKAR ECZEMA MED 30 ML;PARAFARMACIA;"";"";""
154354;PHARMATON COMPLEX 30 COMP;PARAFARMACIA;"";"";""
154418;PILEXIL CHAMPU ANTICAIDA 500ML;PARAFARMACIA;"";"";""
154680;GENOCUTAN GEL 750 ML;PARAFARMACIA;"";"";""
154884;ANTHELIOS 50+ FLUIDO COLO 50ML;PARAFARMACIA;"";"";""
155230;SOMATOLINE HOMB ABDOM DEFIN200;PARAFARMACIA;"";"";""
155286;LETI SR 60 CAPSULAS;PARAFARMACIA;"";"";""
155293;PHB GINGI KIT CEP+P 15 ML;PARAFARMACIA;"";"";""
155922;UROMIL 60 CAPS;PARAFARMACIA;"";"";""
156038;ODDENT ENJUAGE ORAL 150 ML;PARAFARMACIA;"";"";""
156105;DERCOS CHAMPU ESTIMULANT 400ML;PARAFARMACIA;"";"";""
156228;TALONERA COMFORSIL DESCAN L 2U;PARAFARMACIA;"";"";""
156332;SEPARADOR COMFORSIL CARRETE S;PARAFARMACIA;"";"";""
156333;SEPARADOR COMFORSIL CARRETE M;PARAFARMACIA;"";"";""
156334;SEPARADOR COMFORSIL CARRETE L;PARAFARMACIA;"";"";""
156574;PHB CEP PLUS JUNIOR+PASTA 15ML;PARAFARMACIA;"";"";""
156589;KAMIREL SPRAY APLICADOR 100ML;PARAFARMACIA;"";"";""
156790;TETINA LATEX ANATOMICA SUAVINEX TALLA 2L 2 UNIDADES;PARAFARMACIA;"";"";""
156855;BIBERON PP BOCA ANCHA T LATEX ANATOMICA SUAVINEX 1 UNIDAD 360 cc + T2 L;PARAFARMACIA;"";"";""
156974;WOMAN ISDIN HIGIENE INT 200ML;PARAFARMACIA;"";"";""
157352;PHB JUNIOR KIT CEP+PAST 15ML;PARAFARMACIA;"";"";""
157435;AVENE COUVRANCE POL BUENA CARA;PARAFARMACIA;"";"";""
157438;LETIFEM PEDIATRIC GEL 250 ML;PARAFARMACIA;"";"";""
157456;VEA ACEITE CORP SPRAY 50 ML;PARAFARMACIA;"";"";""
157493;SUERO ORAL NORMON FRESA2X250ML;PARAFARMACIA;"";"";""
157588;KIN GINGI COMPLEX ENJUAG 500ML;PARAFARMACIA;"";"";""
157810;AVENE EAU THER REPAR SOL 400ML;PARAFARMACIA;"";"";""
157935;ALZAS SILICONA DISMETRIA 8MM;PARAFARMACIA;"";"";""
157989;BIBERON SUAVIN ENTR ASA SIL150;PARAFARMACIA;"";"";""
158030;ACEITE ALMENDR DULC NAMIRA 125;PARAFARMACIA;"";"";""
158241;KUKIDENT PRO CLAS CR ADH 70 G;PARAFARMACIA;"";"";""
158242;KUKIDENT PRO FRESCO 47 GR;PARAFARMACIA;"";"";""
158329;PANTY JOBST 70 NATURAL T4;PARAFARMACIA;"";"";""
158426;RODILLERA INNOVA T P;PARAFARMACIA;"";"";""
158427;RODILLERA INNOVA T MD;PARAFARMACIA;"";"";""
158429;RODILLERA INNOVA T G;PARAFARMACIA;"";"";""
158661;TOBILLERA INNOVA T P;PARAFARMACIA;"";"";""
158662;TOBILLERA INNOVA T MD;PARAFARMACIA;"";"";""
158663;TOBILLERA INNOVA T G;PARAFARMACIA;"";"";""
158665;MU´┐¢EQUERA VELCRO INNOVA T PMD;PARAFARMACIA;"";"";""
158738;PAROGENCYL CONTR COLUT 2X500ML;PARAFARMACIA;"";"";""
158771;ANTHELIOS XL 50+ SPERF 250 ML;PARAFARMACIA;"";"";""
159083;RODILLERA FARMALASTIC NEOP T U;PARAFARMACIA;"";"";""
159084;RODILLERA FARMAL NEOPR ROT T U;PARAFARMACIA;"";"";""
159226;SENSODYNE REPAIR AND PROTECT PASTA DENTAL 1 TUBO 75 ml;PARAFARMACIA;"";"";""
159578;VISMED GOTAS 20X0.3 MONODOSIS;PARAFARMACIA;"";"";""
160186;FARLINE COLUT ACC TOTAL 500ML;PARAFARMACIA;"";"";""
160388;REPAVAR REGE CR MANOS 75 ML;PARAFARMACIA;"";"";""
160396;OTC ANTIPIOJ PACK PERMETRINA;PARAFARMACIA;"";"";""
160541;INTERPROX PLUS MINICONICO 6UDS;PARAFARMACIA;"";"";""
160683;RHINOMER F1 XL 180 ML;PARAFARMACIA;"";"";""
160910;SALUVITAL LOCION CORPORAL ROSA MOSQUETA 1 ENVASE 450 ml;PARAFARMACIA;"";"";""
160919;DENTIBLANC DUPLO 2 X 100ML;PARAFARMACIA;"";"";""
161173;URGOCALL 12 UN;PARAFARMACIA;"";"";""
161273;HIDRALOE GEL ALOE 250 ML;PARAFARMACIA;"";"";""
161337;PARCHES ADHESIVOS COMFORSIL;PARAFARMACIA;"";"";""
161614;INTERPROX PLUS XX-MAXI 4UDS;PARAFARMACIA;"";"";""
161678;VITIS ORTHODONTIC 32 COMP;PARAFARMACIA;"";"";""
161960;CONTOUR NEXT 25 TIRAS REACTIV;PARAFARMACIA;"";"";""
162129;ANTHELIOS NI´┐¢OS LECHE50+ 250ML;PARAFARMACIA;"";"";""
162200;EFFACLAR SERUM ULTRA CONCENT30;PARAFARMACIA;"";"";""
162361;BUCALSONE PLUS SPRAY 50 ML;PARAFARMACIA;"";"";""
162723;SIKENDIET BEB CACAO FIBRA 400;PARAFARMACIA;"";"";""
162798;EUCERIN ANTITRANSP ROLL ON 50;PARAFARMACIA;"";"";""
162990;CEPILLO LACER TECHNIC EX-SUAVE;PARAFARMACIA;"";"";""
163006;CEPILLO LACER TECHNIC QUIRURGI;PARAFARMACIA;"";"";""
163047;SALTRATOS SALES RELAJA 250 GR;PARAFARMACIA;"";"";""
163180;CIS-CONTROL 150 MG 120 CAPS;PARAFARMACIA;"";"";""
163240;CEPILLO LAC INT REC EXT FINO10;PARAFARMACIA;"";"";""
163242;CEPILLO LAC INT ANG EXT FINO10;PARAFARMACIA;"";"";""
163257;TETINA SILICONA BOCA ANCHA PAPILLA SUAVINEX 0 MESES 2 UNIDADES;PARAFARMACIA;"";"";""
163284;CICATRIDINA RUBIO 10 SUPOS;PARAFARMACIA;"";"";""
163347;ESPARAD OMNIPLAST TEL RS 5X2.5;PARAFARMACIA;"";"";""
163428;SQUANORM CH CASPA GRASA 200 ML;PARAFARMACIA;"";"";""
163564;OPTICHAMBER CA INH MAS DIAM IN;PARAFARMACIA;"";"";""
163965;FORMAG 90 COMP;PARAFARMACIA;"";"";""
164199;AVENE FLUI SPF50+ SIN PERF50ML;PARAFARMACIA;"";"";""
164302;HYALURON MUCUS 30 GR;PARAFARMACIA;"";"";""
165127;AGUJAS 0.25X8 MM 31G 100U;PARAFARMACIA;"";"";""
165540;SEIDIFERTY 60 CAPS;PARAFARMACIA;"";"";""
165833;DUCRAY SENSINOL SOS SPRAY 30ML;PARAFARMACIA;"";"";""
166001;MULTICENTRUM MUJER 30 COMP;PARAFARMACIA;"";"";""
166116;NUTRIBEN INICIO BIBERON 600 G;PARAFARMACIA;"";"";""
166257;YOTUEL SNOWMINT 75 ML;PARAFARMACIA;"";"";""
166292;VITIS ALOE VERA PASTA DENTIFRICA 2 ENVASES 150 ml SABOR MENTA;PARAFARMACIA;"";"";""
166382;LIPIKAR ACEITE LAVANTE AP+ 1L;PARAFARMACIA;"";"";""
166383;CERAVE LIMPIADORA HIDRATANTE 1 ENVASE 473 ml RECARGA;PARAFARMACIA;"";"";""
166826;AVENE XERACALM A.D. CREMA 200;PARAFARMACIA;"";"";""
166840;LEUKOPLAST KIDS ZOO 12UN SURTI;PARAFARMACIA;"";"";""
167174;AQUILEA VIGOR ELLA 60 CAPS;PARAFARMACIA;"";"";""
167299;INTIMINA EJERCITADOR KEGEL 38G;PARAFARMACIA;"";"";""
167409;ALMIRON ADVANCE 2 800G;PARAFARMACIA;"";"";""
167428;VITIS CEPILLO PROTESIS;PARAFARMACIA;"";"";""
167511;MIGRASTICK FORTE ROLL ON 3 ML;PARAFARMACIA;"";"";""
167673;PROFIL DUREX NATURAL XL 12 UN;PARAFARMACIA;"";"";""
167730;GLUC UP LIMON 15GX10STICKS30ML;PARAFARMACIA;"";"";""
167834;HALITA PASTA DENT 75 ML;PARAFARMACIA;"";"";""
168004;NAN 4 800G;PARAFARMACIA;"";"";""
168217;TAPONES POLIURETANO APOSAN 4UN;PARAFARMACIA;"";"";""
168455;TENA BABEROS DESECH T G 150U;PARAFARMACIA;"";"";""
168897;SALUVITAL ACEITE PURO DE ARGAN ECOCERT 1 ENVASE 30 ml;PARAFARMACIA;"";"";""
169023;OPTIBEN 30 TOALLITAS UNIDOSIS;PARAFARMACIA;"";"";""
169231;LACTANZA HEREDITUM 28 CAPS;PARAFARMACIA;"";"";""
169555;GESTAGYN PRECONCEPCION 30 CAPS;PARAFARMACIA;"";"";""
169568;NEUTROGENA CR PIE ABS INMEDIAT;PARAFARMACIA;"";"";""
169661;BE+ DESMAQUILLA BIFASICO 150ML;PARAFARMACIA;"";"";""
169751;ENSURE NUTRIVIGOR VAIN 400G;PARAFARMACIA;"";"";""
169812;TH PHARMA VITALIA SIN AMONIACO COLORACION CAPILAR PERMANENTE COLOR 5 CASTA´┐¢O CLARO;PARAFARMACIA;"";"";""
169823;TH PHARMA VITALIA SIN AMONIACO COLORACION CAPILAR PERMANENTE COLOR 7.46 RUBIO MEDIO ACOBRADO ROJO;PARAFARMACIA;"";"";""
169878;MAGNESIO NM 1G 100SOB;PARAFARMACIA;"";"";""
170113;BE+ GEL EXFOLIA DOBLE ACC 75ML;PARAFARMACIA;"";"";""
170182;LEGASIL 30 COMPRIMIDOS;PARAFARMACIA;"";"";""
170185;BIBERON VIDRIO TETI SIL 240 ML;PARAFARMACIA;"";"";""
170555;CERAVE LIMP ESPUMOSO REC 473ML;PARAFARMACIA;"";"";""
170680;FLAVIA PLUS 30 CAP;PARAFARMACIA;"";"";""
170719;STERILLIUM ANTISE PIEL BIOC500;PARAFARMACIA;"";"";""
170820;BE+ GEL ESPUMA LIMP 200 ML;PARAFARMACIA;"";"";""
170910;ISDINCEUTICS GLICOISDIN CR8%50;PARAFARMACIA;"";"";""
171035;ASTENOLIT AMPOLLAS BEBIB 12UDS;PARAFARMACIA;"";"";""
171280;PROFIL DUREX SABOREAME EASY 12;PARAFARMACIA;"";"";""
